date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:43	85/85	---MCZ	200	added ('OK')	text/plain	etag:W/%22292d971fe939ad5702b58401e223802c%22	https://euro2024sol.top/robots.txt		(from )
17:43:43	107550/107550	---MCZ	200	added ('OK')	text/html	etag:W/%224778edce487015cded56c7d2f28c30c5%22	https://euro2024sol.top/	C:/My%20Web%20Sites/euro/euro2024sol.top/index.html	(from )
17:43:43	2203/2203	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jun%202024%2014:15:52%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=48,h=48,fit=crop,f=png/YrDarqbrZEHg2Mow/logo-no-bg-AoPe5z7X3xfKw2x5.png	C:/My%20Web%20Sites/euro/assets.zyrosite.com/cdn-cgi/image/format=auto,w=48,h=48,fit=crop,f=png/YrDarqbrZEHg2Mow/logo-no-bg-AoPe5z7X3xfKw2x5.png	(from https://euro2024sol.top/)
17:43:43	219277/219277	---MCZ	200	added ('OK')	text/css	etag:W/%22314c7a7d7abecd9d5498c0d0ae3f0548%22	https://euro2024sol.top/_astro-1718464459083/_slug_.C9qfeyRx.css	C:/My%20Web%20Sites/euro/euro2024sol.top/_astro-1718464459083/_slug_.C9qfeyRx.css	(from https://euro2024sol.top/)
17:43:44	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73089-1b7c%22	https://euro2024sol.top/t	C:/My%20Web%20Sites/euro/euro2024sol.top/t	(from https://euro2024sol.top/)
17:43:44	332558/332558	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Jun%202024%2014:15:50%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=1920,fit=crop/YrDarqbrZEHg2Mow/cartoon-style-professional-soccer-player_23-2151502457-Y4L4Q3be7yc49nvJ.jpg	C:/My%20Web%20Sites/euro/assets.zyrosite.com/cdn-cgi/image/format=auto,w=1920,fit=crop/YrDarqbrZEHg2Mow/cartoon-style-professional-soccer-player_23-2151502457-Y4L4Q3be7yc49nvJ.jpg	(from https://euro2024sol.top/)
17:43:45	81375/81375	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jun%202024%2014:15:52%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=709,h=704,fit=crop/YrDarqbrZEHg2Mow/logo-no-bg-AoPe5z7X3xfKw2x5.png	C:/My%20Web%20Sites/euro/assets.zyrosite.com/cdn-cgi/image/format=auto,w=709,h=704,fit=crop/YrDarqbrZEHg2Mow/logo-no-bg-AoPe5z7X3xfKw2x5.png	(from https://euro2024sol.top/)
17:43:45	23387/23387	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jun%202024%2014:15:52%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=328,h=317,fit=crop/YrDarqbrZEHg2Mow/logo-no-bg-AoPe5z7X3xfKw2x5.png	C:/My%20Web%20Sites/euro/assets.zyrosite.com/cdn-cgi/image/format=auto,w=328,h=317,fit=crop/YrDarqbrZEHg2Mow/logo-no-bg-AoPe5z7X3xfKw2x5.png	(from https://euro2024sol.top/)
17:43:45	4406/4406	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jun%202024%2014:15:46%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=184,h=48,fit=crop/YrDarqbrZEHg2Mow/welcome-YanB83G5G3T3RL0G.png	C:/My%20Web%20Sites/euro/assets.zyrosite.com/cdn-cgi/image/format=auto,w=184,h=48,fit=crop/YrDarqbrZEHg2Mow/welcome-YanB83G5G3T3RL0G.png	(from https://euro2024sol.top/)
17:43:46	3246/3246	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jun%202024%2014:15:46%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=136,h=36,fit=crop/YrDarqbrZEHg2Mow/welcome-YanB83G5G3T3RL0G.png	C:/My%20Web%20Sites/euro/assets.zyrosite.com/cdn-cgi/image/format=auto,w=136,h=36,fit=crop/YrDarqbrZEHg2Mow/welcome-YanB83G5G3T3RL0G.png	(from https://euro2024sol.top/)
17:43:46	130625/130625	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jun%202024%2014:15:55%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=606,h=560,fit=crop/YrDarqbrZEHg2Mow/logo-A0xNJ2ny9MIWpN1Z.png	C:/My%20Web%20Sites/euro/assets.zyrosite.com/cdn-cgi/image/format=auto,w=606,h=560,fit=crop/YrDarqbrZEHg2Mow/logo-A0xNJ2ny9MIWpN1Z.png	(from https://euro2024sol.top/)
17:43:46	41565/41565	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jun%202024%2014:15:55%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=328,h=275,fit=crop/YrDarqbrZEHg2Mow/logo-A0xNJ2ny9MIWpN1Z.png	C:/My%20Web%20Sites/euro/assets.zyrosite.com/cdn-cgi/image/format=auto,w=328,h=275,fit=crop/YrDarqbrZEHg2Mow/logo-A0xNJ2ny9MIWpN1Z.png	(from https://euro2024sol.top/)
17:43:47	192832/192832	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jun%202024%2014:15:49%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=1224,h=413,fit=crop/YrDarqbrZEHg2Mow/banner-ALpJkDz4p8Tyz3vv.png	C:/My%20Web%20Sites/euro/assets.zyrosite.com/cdn-cgi/image/format=auto,w=1224,h=413,fit=crop/YrDarqbrZEHg2Mow/banner-ALpJkDz4p8Tyz3vv.png	(from https://euro2024sol.top/)
17:43:47	17975/17975	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Jun%202024%2014:15:49%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=328,h=112,fit=crop/YrDarqbrZEHg2Mow/banner-ALpJkDz4p8Tyz3vv.png	C:/My%20Web%20Sites/euro/assets.zyrosite.com/cdn-cgi/image/format=auto,w=328,h=112,fit=crop/YrDarqbrZEHg2Mow/banner-ALpJkDz4p8Tyz3vv.jpg	(from https://euro2024sol.top/)
